name original,growth form,flowering duration,maximum height (m),dispersal mode,seritony,plant longevity
Grevillea caleyi,shrub,Oct - Dec,3.00,myrmecochory,no,
Maytenus silvestris,shrub,Oct - Jan,3.00,myrmecochory,no,
Pomaderris aspera,shrub,Oct - Nov,3.00,myrmecochory,no,
Comesperma ericinum,shrub,Sep - Dec,1.00,myrmecochory,no,
Pultenaea elliptica,shrub,Sep - Dec,1.00,myrmecochory,no,
Lasiopetalum ferrugineum,shrub,Sep - Nov,1.00,myrmecochory,no,
Styphelia tubiflora,Shrub,Apr - Aug,1.00,myrmecochory,,
Dampiera stricta,Shrub,Aug - Dec,0.60,myrmecochory,,
Hibbertia aspera,Shrub,Aug - Dec,0.60,myrmecochory,,
Hibbertia serpyllifolia,Shrub,Aug - Oct,0.30,myrmecochory,,
Leucopogon amplexicaulis,shrub,Aug - Oct,0.30,myrmecochory,,
Leucopogon esquamatus,shrub,Aug - Sep,0.60,myrmecochory,,
Hibbertia cistiflora,Shrub,Aug - Sep,0.80,myrmecochory,,
Platysace linearifolia,Shrub,Dec - Apr,1.50,myrmecochory,,
Platysace stephensonii,Shrub,Dec - Jul,0.30,myrmecochory,,
Hibbertia bracteata,Shrub,Jul - Dec,1.00,myrmecochory,,
Pimelea linifolia,Shrub,Jul - Oct,1.00,myrmecochory,,
Hemigenia purpurea,Shrub,Jun - Jan,1.00,myrmecochory,,
Baeckea ramossissima,Shrub,Jun - Jan,0.20,myrmecochory,,
Brachyloma daphnoides,Shrub,Jun - Nov,1.00,myrmecochory,,
Hibbertia riparia,Shrub,May - Dec,0.60,myrmecochory,,
Leucopogon microphyllus,shrub,May - Nov,0.80,myrmecochory,,
Hibbertia linearis,Shrub,May - Oct,0.50,myrmecochory,,
Leucopogon appressus,shrub,Nov - Feb,0.80,myrmecochory,,
Pimelea latifolia hirsuta,Shrub,Sep - Mar,0.50,myrmecochory,,
Acacia hispidula,shrub,All year,2.00,,no,
Grevillea mucronulata,shrub,Apr - Oct,1.00,,no,
Acacia falcata,shrub,Apr - Jul,2.00,,no,
Pultenaea polifolia,shrub,Aug  - Oct,0.60,,no,
Lasiopetalum rufum,shrub,Aug - Nov,1.00,,no,
Pultenaea retusa,shrub,Aug - Nov,1.00,,no,
Howittia trilocularis,shrub,Aug - Nov,2.00,,no,
Tetratheca thymifolia,shrub,Aug - Nov,0.50,,no,
Pultenaea rosmarinifolia,shrub,Aug - Oct,1.00,,no,
Rulingia dasyphylla,shrub,Aug - Oct,2.00,,no,
Lasiopetalum joyceae,shrub,Aug - Oct,0.80,,no,
Indigofera australis,shrub,Aug - Sep,1.00,,no,
Acacia stricta,shrub,Aug - Sep,2.00,,no,
Hovea purpurea,shrub,Aug - Sep,3.00,,no,
Acacia longissima,shrub,Dec - Jan,2.00,,no,
Crowea exalata,shrub,Dec - Jun,0.60,,no,
Boronia rigens,shrub,Jul - Oct,0.40,,no,
Acacia echinula,shrub,Jun - Aug,2.00,,no,
Grevillea baueri,shrub,Jun - Dec,1.00,,no,
Acacia trinervata,shrub,Mar - Jun,2.00,,no,
Monotaxis linifolia,shrub,Oct - Jan,0.30,,no,
Dodonaea pinnata,shrub,Sep - Dec,1.00,,no,
Boronia polygalifolia,shrub,Sep - Feb,0.20,,no,
Oxylobium ilicifolium,shrub,Sep - Nov,2.00,,no,
Pultenaea microphylla,shrub,Sep - Nov,0.50,,no,
Poranthera corymbosa,shrub,Sep - Nov,0.60,,no,
Eriostemon hispidulus,shrub,Sep - Oct,1.00,,no,
Pultenaea hispidula,shrub,Sep - Oct,1.00,,no,
Asterolasia correifolia,shrub,Sep - Oct,2.00,,no,
Lasiopetalum macrophyllum,shrub,Sep - Oct,2.00,,no,
Pomaderris elliptica,shrub,Sep - Oct,2.00,,no,
Pomaderris ferruginea,shrub,Sep - Oct,2.00,,no,
Pomaderris intermedia,shrub,Sep - Oct,2.00,,no,
Pultenaea paludosa,shrub,Sep - Oct,0.40,,no,
Comesperma defoliatum,shrub,Summer,0.60,,no,
Hibbertia diffusa,Shrub,Aug - Feb,0.50,,,
Daviesia acicularis,shrub,Aug - Nov,1.00,,,
Daviesia corymbosa,shrub,Aug - Nov,1.00,,,
Daviesia ulicifolia,shrub,Aug - Nov,1.00,,,
Logania albiflora,shrub,Aug - Oct,2.00,,,
Platysace lanceolata,Shrub,Dec - Apr,1.50,,,
Mirbelia speciosa,shrub,Jul - Aug,1.00,,,
Hibbertia fasciculata,Shrub,Jul - Dec,1.00,,,
Chloanthes stoechadis,shrub,Jul - Oct,0.50,,,
Leucopogon parviflorus,Shrub,Jul - Sep,0.50,,,
Haloragodendron lucasii,Shrub,Nov,1.00,,,
Leptospermum rotundifoliu,Shrub,Nov - Dec,2.00,,,
Astrotricha longifolia,shrub,Oct - Dec,2.00,,,
Pimelea curviflora,Shrub,Sep - Jan,1.50,,,
Hibbertia empetrifolia,Shrub,Sep - Mar,0.30,,,
Acacia parramattensis,shrub/tree,Oct - Feb,4.00,myrmecochory,no,
Commelina cyanea,Trailer,Jan - Feb,0.10,,,
Hibbertia scandens,Trailer,All year,,endozoochory,,
Hibbertia dentata,Trailer,Aug - Nov,,myrmecochory,,
Eucalyptus haemastoma,Tree,Nov - Mar,12.00,,,
Backhousia myrtifolia,Tree,Nov -Dec,10.00,,,
Brachychiton acerifolius,tree,Dec - Jan,20.00,,no,
Brachychiton populneus,tree,Nov - Jan,15.00,,no,
Glochidion ferdinandi,tree,Oct,6.00,,no,
Callicoma serratifolia,tree,Oct - Dec,4.00,,no,
Eucalyptus agglomerata,Tree,Apr - Jul,8.00,,,
Eucalyptus sideroxylon,Tree,Apr - Oct,15.00,,,
Eucalyptus umbra,Tree,Aug - Jan,8.00,,,
Eucalyptus pellita,Tree,Aug - NOv,10.00,,,
Eucalyptus racemosa,Tree,Aug - Nov,15.00,,,
Eucalyptus squamosa,Tree,Aug - Oct,8.00,,,
Eucalyptus capitellata,Tree,Dec - Feb,15.00,,,
Angophora bakeri,Tree,Dec - Jan,15.00,,,
Tristaniopsis laurina,Tree,Dec - Jan,15.00,,,
Eucalyptus punctata,Tree,Dec - MAr,10.00,,,
Eucalyptus botyroides,Tree,Dec - Mar,15.00,,,
Eucalyptus gummifera,Tree,Feb - Mar,15.00,,,
Melaleuca quinquenervia,Tree,Feb - May,8.00,,,
Eucalyptus camfieldii,Tree,irregular,4.00,,,
Eucalyptus notabilis,Tree,Jan,10.00,,,
Eucalyptus saligna,Tree,Jan  - Apr,25.00,,,
Eucalyptus oblonga,Tree,Jan - Apr,8.00,,,
Eucalyptus globoidea,Tree,Jan - Jun,8.00,,,
Eucalyptus viminalis,Tree,Jan - May,30.00,,,
Eucalyptus paniculata,Tree,May - Aug,15.00,,,
Eucalyptus maculata,Tree,May - Sep,20.00,,,
Angophora costata,Tree,Nov - Dec,25.00,,,
Melaleuca styphelioides,Tree,Nov - Dec,8.00,,,
Eucalyptus piperita,Tree,Nov - Feb,25.00,,,
Eucalyptus resinifera,Tree,Nov - Jan,15.00,,,
Eucalyptus eximia,Tree,Oct,20.00,,,
Angophora floribunda,Tree,Oct - Dec,20.00,,,
Syncarpia glomulifera,Tree,Oct - Dec,25.00,,,
Eucalyptus sieberi,Tree,Sep - Jan,20.00,,,
Eucalyptus pilularis,Tree,Sep - Mar,25.00,,,
Melaleuca armillaris,Tree,Sep - Nov,5.00,,,
Callistemon salignus,Tree,Sep - Oct,6.00,,,
Pittosporum undulatum,tree,Aug - Sep,4.00,,no,
Pittosporum revolutum,tree,Sep - Oct,3.00,,no,
Acacia melanoxylon,tree,Aug -Nov,30.00,,no,
Casuarina cunninghamiana,tree,All year,25.00,anemochory,,
Casuarina glauca,tree,May - Aug,20.00,anemochory,,
Banksia serrata,tree,Dec - Jun,4.00,anemochory,yes,
Banksia integrifolia,tree,Jan - Jun,15.00,anemochory,yes,
Allocasuarina littoralis,tree,May - Jun,12.00,anemochory,yes,
Allocasuarina torulosa,tree,Sep - Dec,20.00,anemochory,yes,
Hakea salicifolia,tree,Sep - Nov,4.00,anemochory,yes,
Ceratopetalum apetalum,tree,Nov  - Dec,25.00,anemochory,no,
Stenocarpus salignus,tree,Oct - Jan,15.00,anemochory,no,
Hymenosporum flavum,tree,Oct - Nov,4.00,anemochory,no,
Phebalium dentatum,tree,Aug - Sep,3.00,ballistic + ant,no,
Polyosma cunninghamii,tree,Apr - Oct,8.00,endozoochory,no,
Omalanthus populifolius,tree,Aug - Dec,3.00,endozoochory,no,
Alphitonia excelsa,tree,Dec - Mar,10.00,endozoochory,no,
Endiandra sieberi,tree,Jun - Oct,15.00,endozoochory,no,
Synoum glandulosum,tree,Mar - Jul,3.00,endozoochory,no,
Abrophyllum ornans,tree,Nov - Jan,8.00,endozoochory,no,
Melia azedarach,tree,Oct - Dec,10.00,endozoochory,no,
Elaeocarpus reticulatus,tree,Oct - Dec,5.00,endozoochory,no,
Guioa semiglauca,tree,Oct - Nov,12.00,endozoochory,no,
Cryptocarya glaucescens,tree,Oct - Nov,25.00,endozoochory,no,
Cryptocarya microneura,tree,Sep - Nov,20.00,endozoochory,no,
Schizomeria ovata,tree,Sep - Oct,20.00,endozoochory,no,
Ficus rubiginosa,tree,,30.00,endozoochory,no,
Ficus obliqua,tree,,40.00,endozoochory,no,
Ficus macrophylla,tree,,50.00,endozoochory,no,
Ficus coronata,tree,,,endozoochory,no,
Notelaea longifolia,tree,Apr - Jul,3.00,endozoochory,,
Livistona australis,Tree,Aug - Oct,8.00,endozoochory,,
Trema aspera,tree,Dec - Feb,,endozoochory,,
Syzygium coolminianum,Tree,Dec - Mar,8.00,endozoochory,,
Trochocarpa laurina,Tree,Jan - Apr,3.00,endozoochory,,
Acmena smithii,Tree,Nov - Feb,20.00,endozoochory,,
Clerodendrum tomentosum,tree,Oct - Nov,3.00,endozoochory,,
Rhodamnia rubescens (tri),Tree,Sep - Oct,25.00,endozoochory,,
Acacia elata,tree,Dec - Feb,20.00,myrmecochory,no,
Acacia implexa,tree,Jan - Mar,4.00,myrmecochory,no,
Acacia decurrens,tree,Jul - Sep,4.00,myrmecochory,no,
Acacia filicifolia,tree,Aug - Sep,4.00,,no,
Acacia schinoides,tree,Dec - Mar,6.00,,no,
Acacia prominens,tree,Jul -  Oct,15.00,,no,
Acacia binervia,tree,Sep - Oct,4.00,,no,
Avicennia marina,tree,Feb - Apr,4.00,,,
Gymnostachys anceps,Tussock,Oct - Dec,1.00,endozoochory,,
Smilax glyciphylla,Twiner,Oct - Dec,,,,
Smilax australis,Twiner,Sep,,,,
Polymeria calycina,Vine,Oct - Apr,,,,
Calystegia soldanella,Vine,,,,,
Pandorea pandorana,Vine,Aug - Sep,,anemochory,,
Marsdenia suaveolens,vine,Nov - Dec,,anemochory,,
Parsonsia straminea,Vine,Nov - Jan,,anemochory,,
Hybanthus vernonii,Woody herb,Sep - Dec,0.30,myrmecochory,,
Hybanthus monopetalus,Woody herb,Sep- Dec,0.30,,,
Caleana major,,,,,,
Calochilus campestris,,,,,,
Corybas pruinosus,,,,,,
Cryptostylis subulata,,,,,,
Thelymitra ixioides,,,,,,
Macrozamia communis,,,,endozoochory,,
