Species,Replicate,Date_left_traits,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass),Date_plant_traits,Plant height (cm),Plant width (cm),Diameter of the thickest root (mm),Number of primary root axes,Tap root (yes/no),Root fresh mass (g),Root projected area (mm2),Root perimeter (mm),Root dry mass (g),Root Dry Matter Content (RDMC: dry mass / fresh mass),Specific Root Area (SRA: root surface area / dry mass) (mm2.g-1),Total root length (cm),Specific Root Length (SRL: root length/root dry weight) (cm.g-1),Root Projected Area (cm2),Root Surface Area (cm2) [winrhizo],Average root diameter (cm),Total root volume (cm3),Number of root tips,Number of root forks,fine:coarse root ratio (volume of fine root (<0.5mm diametre) / volume of coarse root (>0.5mm diametre)),Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio,leaf_mass_fraction,leaf_mass_to_stem_mass,Life form (1 = phanerophytes; 2 = chamaephytes; 3 = hemicryptophytes; 4 = geophytes; 5 = therophytes),"N-fixation (0=N, 1=Y)","Photosynthetic pathway (1=C3, 2=C4, 3=CAM,)",Specific Root Area (SRA) (m2.kg-1),Root Dry Matter Content (RDMC),B (root biomass depth distribution coefficient (Gale and Grigal 1987)),Diameter thickest root (mm),tap_root2
Centaurium erythraea,1,27/09/2005,26,0.0533,3,1.1,220.21,23426.59574,75.91,0.0094,0.176360225,27/09/2005,3.2,6.4,3.4,4,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,0.671,0,0.671,0.107302534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centaurium erythraea,2,27/09/2005,34,0.0842,3.6,1.4,354.18,21728.83436,88.987,0.0163,0.193586698,27/09/2005,2.2,4.8,2.35,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,0.368,0,0.368,0.179347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centaurium erythraea,3,28/09/2005,6,0.0585,2.6,1.3,230.37,23507.14286,65.744,0.0098,0.167521368,28/09/2005,2.5,5,1.49,3,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,0.13,0,0.13,0.146153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheilanthes austrotenuifolia,1,9/10/2005,82,0.2106,9.7,3.2,690.4,14323.65145,510.75,0.0482,0.228869896,9/10/2005,9,11.8,0.84,245,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.425,0.505,0.392,0.897,4.933110368,0.0948891394212702,0.5629877369007804,NA,NA,NA,NA,NA,NA,NA,NA
Cheilanthes austrotenuifolia,2,9/10/2005,68,0.262,15.2,4.6,800.77,12300.61444,649.67,0.0651,0.248473282,9/10/2005,12.1,15.6,0.52,246,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,0.45,0,0.45,8.155555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheilanthes austrotenuifolia,3,10/10/2005,32,0.1489,7.1,2.6,560.04,14396.91517,317.63,0.0389,0.261249161,10/10/2005,13.6,6,0.81,28,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,0.14,0.04,0.18,1.855555556,0.27237354085603116,0.7777777777777779,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus erubescens,1,15/10/2005,82,0.0319,2.45,0.95,141.59,18152.5641,75.583,0.0078,0.244514107,24/10/2005,11.7,9.9,4.3,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.107,0.047,0.154,0.811688312,0.38351254480286734,0.6948051948051948,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus erubescens,2,15/10/2005,87,0.0545,3.2,1.05,176.52,14351.21951,95.603,0.0123,0.225688073,24/10/2005,9.5,7.4,11.68,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729,0.127,0.023,0.15,4.86,0.14448236632536973,0.8466666666666667,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus erubescens,3,15/10/2005,54,0.1266,5.6,2.2,415.77,16970.20408,147.14,0.0245,0.193522907,27/10/2005,9.3,6.3,10.81,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907,0.26,0.055,0.315,2.879365079,0.2127659574468085,0.8253968253968255,NA,NA,NA,NA,NA,NA,NA,NA
Crassula sieberiana,1,20/09/2005,NA,0.0013,0.28,0.131,3.8781,38781,7.8017,1e-4,0.076923077,20/09/2005,2.1,0.8,0.37,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.005,0,0.005,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula sieberiana,2,20/09/2005,NA,0.0026,0.316,0.192,5.3046,53046,11.51,1e-4,0.038461538,20/09/2005,2.1,0.9,0.31,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.016,0,0.016,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula sieberiana,3,21/09/2005,NA,0.0021,0.294,0.174,4.2652,21326,7.9651,2e-4,0.095238095,21/09/2005,2.4,1.7,0.38,3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.016,0,0.016,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbonotus lawsonianus,1,30/09/2005,12,0.3516,5.4,2.8,853.18,22511.34565,139.79,0.0379,0.107792947,30/09/2005,2.8,9.5,1.17,16,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366,0.393,0,0.393,0.93129771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbonotus lawsonianus,2,30/09/2005,25,0.3281,5.6,2.6,764.75,20447.86096,147.07,0.0374,0.113989637,30/09/2005,2.3,7.1,1.23,7,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.111,0,0.111,0.810810811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbonotus lawsonianus,3,30/09/2005,56,0.3485,4.9,3,859.5,24913.04348,135.23,0.0345,0.098995696,30/09/2005,2.8,15.6,1.83,20,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651,0.507,0,0.507,1.284023669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynosurus echinatus,1,10/11/2005,72,0.0621,7.4,0.8,378.19,28869.46565,159.27,0.0131,0.210950081,10/11/2005,38.3,10.8,0.78,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,0.139,0.278,0.417,0.148681055,0.29018789144050106,0.33333333333333337,NA,NA,NA,NA,NA,NA,NA,NA
Cynosurus echinatus,2,10/11/2005,78,0.0396,7.35,5.5,274.95,32347.05882,152.97,0.0085,0.214646465,10/11/2005,34.2,5.3,0.6,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0399,0.0692,0.1593,0.2285,0.174617068,0.2578241430700447,0.30284463894967173,NA,NA,NA,NA,NA,NA,NA,NA
Cynosurus echinatus,3,28/11/2005,94,0.0313,7.1,0.55,249.4,31569.62025,151.11,0.0079,0.252396166,21/11/2005,47.2,11.4,0.63,22,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,0.125,0.3605,0.4855,0.11946447,0.22999080036798528,0.25746652935118436,NA,NA,NA,NA,NA,NA,NA,NA
Cynosurus echinatus,4,28/11/2005,70,0.0442,7.2,0.6,275.23,26983.33333,150.17,0.0102,0.230769231,28/11/2005,26.2,3.2,0.51,11,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0126,0.0185,0.0961,0.1146,0.109947644,0.14544025157232707,0.16143106457242584,NA,NA,NA,NA,NA,NA,NA,NA
Cynosurus echinatus,5,28/11/2005,74,0.0192,5.65,0.4,161.08,33558.33333,117.76,0.0048,0.25,28/11/2005,23.3,2.2,0.49,15,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0184,0.0158,0.1079,0.1237,0.148746968,0.11118930330752992,0.12772837510105095,NA,NA,NA,NA,NA,NA,NA,NA
Daucus glochidiatus,1,27/09/2005,25,0.0224,2.7,1,94.917,22073.72093,100.04,0.0043,0.191964286,27/09/2005,5.2,3.5,0.94,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.023,0,0.023,0.086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daucus glochidiatus,2,27/09/2005,47,0.0202,3,1,81.269,23219.71429,117.17,0.0035,0.173267327,27/09/2005,3.3,3.3,1.43,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.028,0,0.028,0.178571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daucus glochidiatus,3,27/09/2005,38,0.0252,3.1,1,106.66,23186.95652,111.19,0.0046,0.182539683,27/09/2005,3.8,3.9,1.29,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.032,0,0.032,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davesia mimosoides,1,15/10/2005,79,0.1125,5.7,0.5,235.96,4329.541284,129.83,0.0545,0.484444444,13/12/2005,53.5,16,8.35,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.835,6.657,7.592,14.249,0.128780967,0.41388957970654067,0.46719068004772263,NA,NA,NA,NA,NA,NA,NA,NA
Davesia mimosoides,2,15/10/2005,58,0.0728,4.35,0.441,160.37,4334.324324,93.842,0.037,0.508241758,19/12/2005,71.8,35.5,14.25,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.669,16.106,43.002,59.108,0.146663734,0.23763223512400963,0.2724842660891927,NA,NA,NA,NA,NA,NA,NA,NA
Davesia mimosoides,3,15/10/2005,88,0.0644,3.6,0.478,144.62,4108.522727,77.647,0.0352,0.546583851,13/12/2005,77.3,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium varians,1,24/10/2005,25,0.0446,2.8,2.2,221.53,20323.85321,114.65,0.0109,0.244394619,9/11/2005,6.9,20.3,5.54,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.901,0.307,0.156,0.463,4.105831533,0.12986463620981387,0.6630669546436284,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium varians,2,27/10/2005,53,0.0905,3,3.25,357.22,13379.02622,138.54,0.0267,0.295027624,9/11/2005,9,23.7,11.81,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.858,0.834,0.648,1.482,1.928475034,0.19216589861751152,0.562753036437247,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium varians,3,27/10/2005,47,0.0818,5.4,3.05,424,21094.52736,201.07,0.0201,0.245721271,9/11/2005,9.2,18.2,8.15,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.259,0.233,0.098,0.331,3.803625378,0.14654088050314468,0.7039274924471299,NA,NA,NA,NA,NA,NA,NA,NA
Dichelachne crinita,1,28/11/2005,82,0.0427,8.65,0.253,185.07,12175.65789,187.27,0.0152,0.355971897,21/11/2005,31.5,11.7,0.6,29,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1201,0.1501,0.7136,0.8637,0.139052912,0.15257166090668836,0.1737871946277643,NA,NA,NA,NA,NA,NA,NA,NA
Dichelachne crinita,2,28/11/2005,61,0.0325,7.55,0.245,201.1,20110,329.62,0.01,0.307692308,28/11/2005,29.1,16.5,0.41,42,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2243,0.1705,0.8229,0.9934,0.225790215,0.14001806684733514,0.1716327763237367,NA,NA,NA,NA,NA,NA,NA,NA
Dichelachne crinita,3,28/11/2005,81,0.0336,7.15,0.313,175.47,15258.26087,151.04,0.0115,0.342261905,28/11/2005,23.6,10.6,0.52,39,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1773,0.1471,1.4772,1.6243,0.109154713,0.08164964476021315,0.09056208828418395,NA,NA,NA,NA,NA,NA,NA,NA
Drosera pelata,1,27/09/2005,58,0.0081,1.4,1.2,24.588,22352.72727,62.368,0.0011,0.135802469,27/09/2005,7.4,3.2,2.07,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,0.054,0,0.054,0.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera pelata,2,28/09/2005,73,0.0114,1.6,1.2,37.462,22036.47059,72.278,0.0017,0.149122807,27/09/2005,5.3,2.9,1.12,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,0.08,0,0.08,1.1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera pelata,3,28/09/2005,59,0.0128,1.6,1.3,45.34,22670,98.573,0.002,0.15625,27/09/2005,7.6,3.8,1.38,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,0.094,0,0.094,0.765957447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber,1,13/10/2005,86,0.0737,13.9,0.325,365.3,15413.50211,304.47,0.0237,0.321573948,31/10/2005,26.3,19.5,0.77,61,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.887,0.426,0.829,1.255,0.706772908,0.1988795518207283,0.3394422310756972,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber,2,13/10/2005,88,0.0323,9.7,0.216,184.96,16224.5614,209.73,0.0114,0.352941176,31/10/2005,20,21.2,0.73,55,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394,0.469,0.552,1.021,0.38589618,0.33144876325088335,0.4593535749265426,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber,3,15/10/2005,19,0.0621,8.2,0.45,303.13,14434.7619,172.26,0.021,0.338164251,31/10/2005,21.9,18.1,0.58,83,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787,0.486,0.8969,1.3829,0.569093933,0.22397345499792615,0.35143538939908886,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber,4,15/10/2005,8,0.029,7.5,0.251,159.44,15786.13861,156.42,0.0101,0.348275862,6/11/2005,22.4,10.5,0.6,60,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.362,0.696,1.058,0.415879017,0.24165554072096126,0.34215500945179583,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber,5,17/10/2005,70,0.0724,12.7,0.35,382.69,15369.07631,265.78,0.0249,0.343922652,9/11/2005,32.4,13.6,0.55,42,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,0.271,0.551,0.822,0.301703163,0.2532710280373832,0.329683698296837,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon nigricans,1,21/10/2005,49,0.0133,3.95,0.234,87.097,17774.89796,82.954,0.0049,0.368421053,31/10/2005,7.9,10.3,0.68,76,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696,0.255,0.313,0.568,1.225352113,0.20174050632911397,0.44894366197183105,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon nigricans,2,21/10/2005,10,0.0097,4,0.203,69.448,18769.72973,83.819,0.0037,0.381443299,6/11/2005,10.8,14.2,0.55,92,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.3643,0.748,1.1123,0.728220804,0.18951256307548248,0.32751955407713745,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon nigricans,3,24/10/2005,31,0.0177,5,0.256,102.89,14094.52055,106.52,0.0073,0.412429379,6/11/2005,9,9.2,0.61,35,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.1348,0.291,0.4258,0.587130108,0.19946729801716487,0.316580554250822,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon nigricans,4,6/11/2005,42,0.0062,3.05,0.184,47.849,20803.91304,63.705,0.0023,0.370967742,10/11/2005,14.8,14.4,0.61,31,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479,0.184,0.651,0.835,0.573652695,0.1400304414003044,0.22035928143712574,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon nigricans,5,10/11/2005,70,0.0138,5.75,0.206,59.276,11399.23077,120.55,0.0052,0.376811594,10/11/2005,22.1,13.3,0.76,51,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676,0.22,1.0159,1.2359,0.54696982,0.11506877974789476,0.1780079294441298,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis brownii,1,5/12/2005,52,0.0752,23.9,0.339,391.29,15651.6,519.29,0.025,0.332446809,5/12/2005,23.3,35.5,0.67,146,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703,1.032,1.727,2.759,0.254802465,0.2980935875216638,0.3740485683218558,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis brownii,2,5/12/2005,48,0.0318,11,0.29,160.34,13588.13559,229.66,0.0118,0.371069182,13/12/2005,15.3,25.4,0.59,91,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714,1.067,1.239,2.306,0.30962706,0.3533112582781457,0.4627059843885516,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis brownii,3,5/12/2005,32,0.0485,14.3,0.36,261.44,14131.89189,302.74,0.0185,0.381443299,13/12/2005,18,30.2,0.49,85,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.72,0.582,1.302,0.222734255,0.4522613065326633,0.5529953917050691,NA,NA,NA,NA,NA,NA,NA,NA
Eryngium ovinum,1,28/11/2005,10,0.2711,8.25,3.8,492.23,7196.345029,476.31,0.0684,0.252305422,5/12/2005,44.5,29.5,3.3,6,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928,1.29,2.822,4.112,0.225680934,0.25595238095238093,0.313715953307393,NA,NA,NA,NA,NA,NA,NA,NA
Eryngium ovinum,2,28/11/2005,15,0.2494,7.4,3.75,470.56,8099.139415,438.26,0.0581,0.232959102,5/12/2005,33.6,33.2,7.54,10,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.925,1.535,3.282,4.817,0.399626323,0.22767724710768317,0.3186630682997716,NA,NA,NA,NA,NA,NA,NA,NA
Eryngium ovinum,3,28/11/2005,20,0.2706,11.2,5.3,559.66,8799.685535,616.59,0.0636,0.235033259,5/12/2005,38.1,36.2,7.33,2,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.587,1.669,2.17,3.839,0.413388903,0.30759307040176925,0.43474863245636886,NA,NA,NA,NA,NA,NA,NA,NA
Galium divaricatum,1,13/10/2005,23,8e-4,0.528,0.116,4.1219,20609.5,11.267,2e-4,0.25,21/10/2005,5.9,1,0.41,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.0038,0.0024,0.0062,0.161290323,0.5277777777777778,0.6129032258064516,NA,NA,NA,NA,NA,NA,NA,NA
Galium divaricatum,2,13/10/2005,24,0.001,0.563,0.11,4.2007,42007,11.284,1e-4,0.1,21/10/2005,7.2,1.7,0.6,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028,0.0131,0.0076,0.0207,0.1352657,0.5574468085106383,0.6328502415458938,NA,NA,NA,NA,NA,NA,NA,NA
Galium divaricatum,3,13/10/2005,22,0.0011,0.636,0.121,5.9928,29964,13.737,2e-4,0.181818182,24/10/2005,10.3,4.7,0.42,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,0.01,0.0052,0.0152,0.111842105,0.591715976331361,0.6578947368421053,NA,NA,NA,NA,NA,NA,NA,NA
Galium divaricatum,4,15/10/2005,12,0.001,0.52,0.101,4.1864,41864,10.923,1e-4,0.1,27/10/2005,7.3,2,0.4,2,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.0082,0.0028,0.011,0.181818182,0.6307692307692309,0.7454545454545456,NA,NA,NA,NA,NA,NA,NA,NA
Galium divaricatum,5,17/10/2005,18,6e-4,0.486,0.119,4.7598,15866,10.847,3e-4,0.5,27/10/2005,8.6,3.1,0.55,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041,0.0152,0.0084,0.0236,0.173728814,0.5487364620938628,0.6440677966101696,NA,NA,NA,NA,NA,NA,NA,NA
Geranium solanderi,1,27/09/2005,25,0.1857,12.9,3.1,614.35,17257.02247,417.74,0.0356,0.191707054,27/09/2005,7.7,18.6,0.95,36,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172,0.349,0,0.349,0.492836676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geranium solanderi,2,27/09/2005,35,0.1479,9.1,2.5,555.67,22050.39683,299.35,0.0252,0.170385396,27/09/2005,13.1,16.5,0.75,22,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.206,0,0.206,0.334951456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geranium solanderi,3,27/09/2005,18,0.1747,13.2,3.1,590.72,17272.51462,417.36,0.0342,0.195764167,27/09/2005,8.7,11.7,2.11,40,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,0.187,0,0.187,2.914438503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonocarpus tetragynus,1,13/10/2005,57,0.0158,1.3,0.458,41.405,9201.111111,30.616,0.0045,0.284810127,24/10/2005,8.1,5.6,2.21,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,0.1723,0.223,0.3953,0.212496838,0.3594825787606927,0.43587149000758924,NA,NA,NA,NA,NA,NA,NA,NA
Gonocarpus tetragynus,2,13/10/2005,NA,0.0178,1.3,0.422,44.774,11480.51282,30.21,0.0039,0.219101124,24/10/2005,10.7,5.6,2.39,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,0.093,0.152,0.245,0.359183673,0.2792792792792793,0.3795918367346939,NA,NA,NA,NA,NA,NA,NA,NA
Gonocarpus tetragynus,3,15/10/2005,66,0.0166,1.3,0.55,44.308,11975.13514,30.459,0.0037,0.222891566,28/10/2005,11.1,7.2,2.63,2,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,0.307,0.541,0.848,0.503537736,0.2407843137254902,0.36202830188679247,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia hederacea,1,30/09/2005,10,0.3113,5.5,2.1,563.01,5311.415094,139.56,0.106,0.340507549,30/09/2005,4.3,10.4,1.95,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,0.442,0.184,0.626,0.154952077,0.6113416320885201,0.7060702875399361,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia hederacea,2,30/09/2005,34,0.1003,4.6,1.4,286.96,12422.51082,108.36,0.0231,0.230309073,30/09/2005,3.5,7.1,1.56,3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,0.308,0.141,0.449,0.173719376,0.5844402277039847,0.6859688195991092,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia hederacea,3,1/10/2005,65,0.1351,5.1,1.9,400.31,13082.02614,123.2,0.0306,0.22649889,30/09/2005,12.8,20.4,2.86,2,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,1.304,0.648,1.952,0.176741803,0.567696996081846,0.6680327868852459,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia obtusiflora,1,15/10/2005,86,0.171,1.75,0.527,61.011,14188.60465,40.125,0.0043,0.025146199,5/11/2005,18.1,22.5,9.7,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.968,1.719,2.293,4.012,0.739780658,0.24627507163323786,0.4284646061814557,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia obtusiflora,2,15/10/2005,78,0.0223,1.6,0.675,67.541,10893.70968,37.942,0.0062,0.278026906,5/11/2005,14.7,10.4,3.93,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315,0.655,1.074,1.729,0.182186235,0.3204500978473581,0.3788316946211683,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia obtusiflora,3,15/10/2005,56,0.0197,2,0.55,68.186,12397.45455,45.393,0.0055,0.279187817,5/11/2005,28.7,16.2,8.18,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,4.972,6.276,11.248,0.245376956,0.3549400342661337,0.44203413940256053,NA,NA,NA,NA,NA,NA,NA,NA
Holcus lanatus,1,17/10/2005,47,0.142,11.7,0.95,835.48,25241.08761,256.04,0.0331,0.233098592,13/12/2005,34.5,20,0.49,60,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.38,1.714,2.094,0.128939828,0.1607445008460237,0.18147086914995225,NA,NA,NA,NA,NA,NA,NA,NA
Holcus lanatus,2,17/10/2005,78,0.1051,10,0.8,628.82,25984.29752,214.2,0.0242,0.230256898,13/12/2005,59.8,22,0.75,30,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,0.236,1.515,1.751,0.074814392,0.12539851222104145,0.13478012564249,NA,NA,NA,NA,NA,NA,NA,NA
